"p", 5, 16, 3, 100, 12, "24/07/2019 12:31:21", 1563964281.81, 1.0, 18340, 18457, 18398, 0.8913849509269357, 0.8578317169637536, 0.8592781824111316
"r", 5, 64, 3, 100, 17, "24/07/2019 12:31:30", 1563964290.53, 1.0, 18340, 18457, 18398, 0.8483642311886587, 0.8161673077964999, 0.8178062832916622
"q", 5, 32, 3, 100, 15, "24/07/2019 12:31:40", 1563964300.07, 1.0, 18340, 18457, 18398, 0.8701199563794983, 0.8341550631196836, 0.837482335036417
"t", 5, 256, 3, 100, 19, "24/07/2019 12:31:59", 1563964319.63, 1.0, 18340, 18457, 18398, 0.7293893129770992, 0.7062902963645229, 0.710675073377541
"o", 5, 8, 3, 100, 9, "24/07/2019 12:32:26", 1563964346.6, 1.0, 18340, 18457, 18398, 0.9006543075245366, 0.8745191526250203, 0.8732470920752256
"s", 5, 128, 3, 100, 19, "24/07/2019 12:32:27", 1563964347.09, 1.0, 18340, 18457, 18398, 0.750381679389313, 0.7261201712087555, 0.7296445265789759
"r", 5, 64, 3, 100, 18, "24/07/2019 12:32:51", 1563964371.7, 1.0, 18340, 18457, 18398, 0.8646673936750273, 0.8370807823589966, 0.8357973692792695
"q", 5, 32, 3, 100, 16, "24/07/2019 12:33:06", 1563964386.78, 1.0, 18340, 18457, 18398, 0.8715921483097055, 0.8370266023730834, 0.8390585933253615
"t", 5, 256, 3, 100, 20, "24/07/2019 12:33:07", 1563964387.21, 1.0, 18340, 18457, 18398, 0.7358233369683751, 0.7144172942515035, 0.7154582019784759
"p", 5, 16, 3, 100, 13, "24/07/2019 12:33:10", 1563964390.31, 1.0, 18340, 18457, 18398, 0.9038167938931297, 0.8682342742590887, 0.8736819219480378
"s", 5, 128, 3, 100, 20, "24/07/2019 12:33:40", 1563964420.59, 1.0, 18340, 18457, 18398, 0.7765539803707743, 0.7466002058839465, 0.7519295575606044
"r", 5, 64, 3, 100, 19, "24/07/2019 12:34:06", 1563964446.17, 1.0, 18340, 18457, 18398, 0.8715921483097055, 0.8424446009644038, 0.8415045113599304
"t", 5, 256, 3, 100, 21, "24/07/2019 12:34:14", 1563964454.67, 1.0, 18340, 18457, 18398, 0.739040348964013, 0.712683534702281, 0.7170344602674203
"q", 5, 32, 3, 100, 17, "24/07/2019 12:34:36", 1563964476.54, 1.0, 18340, 18457, 18398, 0.8932388222464558, 0.855827057484965, 0.854114577671486
"s", 5, 128, 3, 100, 21, "24/07/2019 12:34:49", 1563964489.29, 1.0, 18340, 18457, 18398, 0.7673936750272629, 0.7387982879124452, 0.7419284704859224
"o", 5, 8, 3, 100, 10, "24/07/2019 12:34:52", 1563964492.8, 1.0, 18340, 18457, 18398, 0.9264994547437295, 0.895974427046649, 0.8993368844439613
"p", 5, 16, 3, 100, 14, "24/07/2019 12:34:59", 1563964499.54, 1.0, 18340, 18457, 18398, 0.9153217011995638, 0.882158530638782, 0.8828677030111969
"t", 5, 256, 3, 100, 22, "24/07/2019 12:35:19", 1563964519.09, 1.0, 18340, 18457, 18398, 0.7419302071973828, 0.7155008939697676, 0.7182845961517557
"r", 5, 64, 3, 100, 20, "24/07/2019 12:35:21", 1563964521.98, 1.0, 18340, 18457, 18398, 0.8805888767720829, 0.8489461992739882, 0.8487335579954343
"s", 5, 128, 3, 100, 22, "24/07/2019 12:35:57", 1563964557.48, 1.0, 18340, 18457, 18398, 0.7684296619411123, 0.7387982879124452, 0.7441026198499837
"n", 5, 1, 3, 100, 2, "24/07/2019 12:36:01", 1563964561.16, 1.0, 18340, 18457, 18398, 0.7460741548527808, 0.7218399523216124, 0.7237743232960104
"q", 5, 32, 3, 100, 18, "24/07/2019 12:36:04", 1563964564.44, 1.0, 18340, 18457, 18398, 0.9026717557251909, 0.8644958552310776, 0.8685726709424938
"t", 5, 256, 3, 100, 23, "24/07/2019 12:36:30", 1563964590.1, 1.0, 18340, 18457, 18398, 0.7440021810250818, 0.7162052337866393, 0.7211653440591369
